id,recomendaciones
2300,"['Warhammer® 40,000: Dawn of War® - Game of the Year Edition', 'Warhammer® 40,000: Dawn of War® – Winter Assault', 'Warhammer® 40,000: Dawn of War® II Chaos Rising', 'Warhammer® 40,000: Dawn of War® - Soulstorm', 'Warhammer 40,000: Dawn of War II: Retribution']"
2270,"['Medieval II: Total War™', 'Total War: ATTILA', 'Total War™: ROME II - Emperor Edition', 'Rome: Total War™ - Alexander', 'Napoleon: Total War™']"
9010,"['Rome: Total War™ - Collection', 'Total War: ROME II - Greek States Culture Pack', 'Total War: ROME II - Hannibal at the Gates Campaign Pack', 'Total War: ROME II - Wrath of Sparta Campaign Pack', 'Total War™: ROME II - Emperor Edition']"
9040,"['Mystery Case Files: Huntsville™', 'Mystery Case Files®: Escape from Ravenhearst™', ""Mystery Case Files: The Black Veil Collector's Edition"", ""Mystery Case Files: The Revenant's Hunt Collector's Edition"", ""Mystery Case Files®: 13th Skull™ Collector's Edition""]"
9000,"['Grand Theft Auto 2', 'Grand Theft Auto V - Criminal Enterprise Starter Pack', 'Grand Theft Auto III', 'Grand Theft Auto: Vice City', 'Grand Theft Auto: San Andreas']"
3810,"['Grand Theft Auto', 'Grand Theft Auto III', 'Grand Theft Auto: Vice City', 'Grand Theft Auto IV: Complete Edition', 'Grand Theft Auto V']"
9030,"['The Evil Within 2', 'Friday the 13th: The Game', 'F.E.A.R.', 'Gynophobia', 'The Evil Within']"
2310,"['Midnight', 'Crazy Taxi', 'Street Racing Syndicate', 'Club Life - Soundtrack', 'FlatOut']"
3230,"['Max Payne', 'Max Payne 3', 'Max Payne 3: Local Justice Pack', 'Max Payne 3 Rockstar Pass', 'L.A. Noire']"
9310,"['Tomb Raider III', 'Tomb Raider II', 'Tomb Raider I', 'Tomb Raider V: Chronicles', 'Tomb Raider: Underworld']"
7670,"['Max Payne 2: The Fall of Max Payne', 'Max Payne 3', 'F.E.A.R.', 'The Evil Within 2', 'The Evil Within']"
4570,"['Command & Conquer: Red Alert 3 - Uprising', 'Rise of Nations: Extended Edition', 'Company of Heroes 2', 'Command & Conquer 3: Tiberium Wars', 'Tank Defense Division']"
4580,"['Puzzle Quest 2', 'Bejeweled® 3', 'Puzzle Kingdoms', 'Age of Castles: Warlords', 'Ichi']"
4760,"['Alternativa', 'Republique', 'Void And Meddler', 'Technobabylon', ""The Maker's Eden""]"
4770,"['Prison Tycoon Alcatraz', 'RPG Tycoon Demo', 'Game Tycoon 2', 'Prison Bomber', 'RPG Tycoon Original Soundtrack']"
50970,"['Hunting Unlimited 4', 'Hunting Unlimited 2011', 'Hunting Unlimited 2009', 'Hunting Simulator', 'Hunting Unlimited 2010']"
12170,"['18 Wheels of Steel: Haulin’', '18 Wheels of Steel: Across America', '18 Wheels of Steel: Extreme Trucker', '18 Wheels of Steel: Extreme Trucker 2', '18 Wheels of Steel: Convoy']"
12180,"['Access Denied', 'Signal Ops', 'Call of Duty®: Black Ops II', 'Call of Duty®: Black Ops II - Uprising', 'Call of Duty®: Black Ops']"
12130,"['Tactical Operations', 'Arma Tactics', 'ARMA: Gold Edition', 'Arma 2: Private Military Company', 'Arma 3 DLC Bundle 1']"
12160,"['RPG Tycoon', 'City Play', 'City Builder', 'City Life 2008', 'Blueprint Tycoon']"
